Mouse		
mm10		
id	chr	size
1	chr1	195471971
2	chr2	182113224
3	chr3	160039680
4	chr4	156508116
5	chr5	151834684
6	chr6	149736546
7	chr7	145441459
8	chr8	129401213
9	chr9	124595110
10	chr10	130694993
11	chr11	122082543
12	chr12	120129022
13	chr13	120421639
14	chr14	124902244
15	chr15	104043685
16	chr16	98207768
17	chr17	94987271
18	chr18	90702639
19	chr19	61431566
21	chrX	171031299
22	chrY	91744698
23	chrM	16299
100	chr1_GL456210_random	169725
101	chr1_GL456211_random	241735
102	chr1_GL456212_random	153618
103	chr1_GL456213_random	39340
104	chr1_GL456221_random	206961
105	chr4_GL456216_random	66673
106	chr4_GL456350_random	227966
107	chr4_JH584292_random	14945
108	chr4_JH584293_random	207968
109	chr4_JH584294_random	191905
110	chr4_JH584295_random	1976
111	chr5_GL456354_random	195993
112	chr5_JH584296_random	199368
113	chr5_JH584297_random	205776
114	chr5_JH584298_random	184189
115	chr5_JH584299_random	953012
116	chr7_GL456219_random	175968
117	chrUn_GL456239	40056
118	chrUn_GL456359	22974
119	chrUn_GL456360	31704
120	chrUn_GL456366	47073
121	chrUn_GL456367	42057
122	chrUn_GL456368	20208
123	chrUn_GL456370	26764
124	chrUn_GL456372	28664
125	chrUn_GL456378	31602
126	chrUn_GL456379	72385
127	chrUn_GL456381	25871
128	chrUn_GL456382	23158
129	chrUn_GL456383	38659
130	chrUn_GL456385	35240
131	chrUn_GL456387	24685
132	chrUn_GL456389	28772
133	chrUn_GL456390	24668
134	chrUn_GL456392	23629
135	chrUn_GL456393	55711
136	chrUn_GL456394	24323
137	chrUn_GL456396	21240
138	chrUn_JH584304	114452
139	chrX_GL456233_random	336933
140	chrY_JH584300_random	182347
141	chrY_JH584301_random	259875
142	chrY_JH584302_random	155838
143	chrY_JH584303_random	158099
30	chrP	10740000
31	chrR	90612000
